2025-09-11 06:37:05 [INFO] [drone-5] Drone '5' disconnected from '1'
2025-09-11 06:37:05 [WARN] [rustastic_drone::drone] [33m!!![0m [ Drone 3 ] is already disconnected from [ Drone 1 ]
2025-09-11 06:37:05 [INFO] [rust_do_it::drone] Drone 4 received command RemoveSender(1)
2025-09-11 06:37:05 [INFO] [getdroned::get_droned] Drone 7 received a command: RemoveSender(1)
2025-09-11 06:37:05 [WARN] [rust_do_it::drone::rust_do_it] Drone 4 could not remove sender 1 because it is not a neighbour
2025-09-11 06:37:45 [INFO] [drone-5] Drone '5' recived crash
2025-09-11 06:37:45 [INFO] [getdroned::get_droned] Drone 7 received a command: Crash
2025-09-11 06:37:45 [INFO] [rust_do_it::drone] Drone 4 received command Crash
2025-09-11 06:37:45 [WARN] [rustastic_drone::drone] [33m!!![0m [ Drone 3 ]: Has crashed
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
2025-09-11 06:37:45 [WARN] [getdroned::get_droned] Drone 7 failed to receive a command: RecvError
